Successfully Opened  0xc00002f450
Read  595291  bytes
Checking totals...
Total OK: 2500000000000000
Successfully Opened genesis_account.json
Connecting to ADKgo node
GetBlockNumber
Block: 10
Deploying ADK Genesis Contracts 
waiting for contract to be mined...
Deployed ADKToken Contract as 0xB56a995117b41dA5BA90DA5c66116c60c6e19170
Bulk Setting (42/6115): OIEHMUCPQQKXRKOVYUVQAJLUXXTWUCLVI9QNVWOREXTUKVGFX9YOTIAVOXCXSOPCBHAPXUQKS9HLZCINT 20000000000
Bulk Setting (43/6115): MN9XVIYOTJCSKQYKOFTZRHPTRWRCARCLYQTILIIKLGYCUPMNRKCGNWCBL9QEUSMCQFIW9XWHOIZDWZVPK 515460313198
Bulk Setting (44/6115): SPYYYGJQEA9XHYVBEMRXKLCO9LPBQDZZKEPLV9CZOPW9JZMXZXEGDQOUOIYBXBNHKLDLNJFSPBQGHDJGJ 792498307210
Bulk Setting (45/6115): QO9AAAZAHMKDXATOUJXNJDYFTHWNSHLVZUUTMNYACNJNYRSSUYEUEBJJEZJCIBAFBQDSOYRTEJSLZRLOX 13906000000
Bulk Setting (46/6115): UQJ9DXFYFJPQFWBKBESCLGLCT9RTPAMCMCXYEIPYAT9SXLEFJLPXIELKJMJNGEOMBEUFGCMEXTFYIPOPD 50200000000
Bulk Setting (47/6115): MHZFYOYNIDRJSBX9IUBXDJCYELNA9RCHEURTIFGIIVSUNFZICAFNASBHXNJDGYXTXGNGSOGXYOBVWMKBF 19900000000
Bulk Setting (48/6115): ZFMGOJOKMWYEJ9AKLZNEIOBIUSPLQVRKFBTNBTTMMUOPJVNQWRMKLMVIRBRVXBCMPWIZQCGQJL9QXGNEH 100000000
Bulk Setting (49/6115): ONAGKGIF9NNVOCCAPD9PTE9VYANUDZPPMGNFXMDNYGMSQCGBHZQENYNPJWMYEYCBSOLADTAPCANFYYIXY 5000000000
Bulk Setting (50/6115): NRZARUSN9TGGIDKYLQUTTWWKWGJRXRRYFWLOXZL9PXDRLNHHVTPSBEKR9YQEFJYNNFDKVKKMYTXFFLURV 100000000
Bulk Setting (51/6115): ABMWFP9TPRREYAVPQJETJSUTFSAJCVTLUARWBYA9WWGMMQYUVYK9WBBYRGHFTKO9XVQADPFIAAOFQGFMH 50000000000
Bulk Setting (52/6115): EVBFUYUQFSHPEJILYEZGOGQUQBEYRMOVQMVDGTYLBDAJFINLC9INNHGENVF9ZMOSDKJJQAIFMWSXZRQGB 86484737
